,loss,a,b,ga,gb
3482,0.03289136705334953,0.9402038701256462,-0.007301600519503374,-0.026742743495346482,-0.007301600519503443
3483,0.03289059894989359,0.9402306128691416,-0.00729429891898387,-0.026716000751851137,-0.007294298918983953
3484,0.03288983238187644,0.9402573288698934,-0.007287004620064886,-0.026689284751099256,-0.00728700462006492
3485,0.032889067346228755,0.9402840181546446,-0.007279717615444822,-0.026662595466348128,-0.007279717615444881
3486,0.032888303839887334,0.9403106807501109,-0.0072724378978293765,-0.026635932870881767,-0.007272437897829394
3487,0.032887541859795096,0.9403373166829818,-0.007265165459931547,-0.02660929693801088,-0.007265165459931606
3488,0.03288678140290106,0.9403639259799198,-0.007257900294471616,-0.02658268764107289,-0.007257900294471691
3489,0.03288602246616035,0.9403905086675609,-0.007250642394177144,-0.026556104953431785,-0.0072506423941772116
3490,0.03288526504653419,0.9404170647725143,-0.007243391751782967,-0.026529548848478395,-0.007243391751783002
3491,0.03288450914098986,0.9404435943213628,-0.007236148360031184,-0.026503019299629876,-0.007236148360031221
